Ministry of Health (South Sudan),,https://moh.gov.ss/index.php,grey_none_verified,National ministry overseeing health sector jobs,false,no_url,South Sudan,DEPT,https://moh.gov.ss/index.php
Ministry of Petroleum (South Sudan),,https://mop.gov.ss/,grey_none_verified,Oil sector ministry key to national economy,false,no_url,South Sudan,DEPT,https://mop.gov.ss/
Office of the President (South Sudan),,https://op.gov.ss/,grey_none_verified,Highest executive authority in government,false,no_url,South Sudan,DEPT,https://op.gov.ss/
Ministry of Finance and Planning (South Sudan),,https://mofp.eservices.gov.ss/,grey_none_verified,Manages national budget and fiscal policy,false,no_url,South Sudan,DEPT,https://mofp.eservices.gov.ss/
Ministry of Foreign Affairs and International Cooperation (South Sudan),,https://mofaic.gov.ss/,grey_none_verified,Handles diplomacy and international relations,false,no_url,South Sudan,DEPT,https://mofaic.gov.ss/
World Food Programme South Sudan,,https://www.wfp.org/careers,green_verified,Major humanitarian food-aid employer amid crisis,true,pending,South Sudan,NGO,https://www.wfp.org/countries/south-sudan
World Health Organization South Sudan,,https://www.who.int/careers,green_verified,UN health agency supporting fragile health system,true,pending,South Sudan,NGO,https://www.afro.who.int/countries/south-sudan
UNDP South Sudan,,https://www.undp.org/south-sudan/jobs,green_verified,UN development agency with country-specific jobs page,true,pending,South Sudan,NGO,https://www.undp.org/south-sudan
UNMISS,,https://unmiss.unmissions.org/en/unmiss-jobs,green_verified,UN peacekeeping mission and notable large employer,true,pending,South Sudan,NGO,https://unmiss.unmissions.org/
Plan International South Sudan,,https://plan-international.org/jobs/,green_verified,Child-focused INGO operating since 2006,true,pending,South Sudan,NGO,https://plan-international.org/south-sudan/
Catholic Relief Services South Sudan,,https://www.crs.org/about-us/careers,green_verified,Global Catholic INGO active in South Sudan,true,pending,South Sudan,NGO,https://www.crs.org/where-we-work/africa/south-sudan
Nile Petroleum Corporation (Nilepet),,https://nilepet.com/,grey_none_verified,National oil and gas company of South Sudan,false,no_url,South Sudan,SOE,https://nilepet.com/
Equity Bank South Sudan,,https://equitygroupholdings.com/ss/careers,green_verified,Major regional bank with local branch network,true,pending,South Sudan,PRIVATE,https://equitygroupholdings.com/ss
KCB Bank South Sudan,,https://ss.kcbgroup.com/careers,green_verified,Kenyan bank subsidiary and active local employer,true,pending,South Sudan,PRIVATE,https://ss.kcbgroup.com/
Zain South Sudan,,https://careers.zain.com/,green_verified,Leading mobile telecom operator in country,true,pending,South Sudan,PRIVATE,https://ss.zain.com/
Ecobank South Sudan,,https://ecobank.com/,amber_company_route,Pan-African bank subsidiary with no dedicated SS site,false,no_url,South Sudan,PRIVATE,https://ecobank.com/
